N,종목명,현재가,전일비,등락률,액면가,매수호가
271.0,하나투어,54000.0,상승  300,+0.56%,500.0,54000.0
272.0,HDC,14490.0,상승  410,+2.91%,5000.0,14450.0
273.0,미원상사,181000.0,"하락  4,900",-2.64%,500.0,180800.0
274.0,코오롱인더,31200.0,하락  250,-0.79%,5000.0,31200.0
275.0,HS효성첨단소재,191500.0,"상승  5,000",+2.68%,5000.0,191500.0
276.0,ACE 테슬라밸류체인액티브,12380.0,하락  265,-2.10%,0.0,12375.0
277.0,TIGER TOP10,11610.0,상승  145,+1.26%,0.0,11565.0
278.0,SK오션플랜트,14240.0,하락  380,-2.60%,500.0,14220.0
279.0,태광산업,753000.0,"상승  8,000",+1.07%,5000.0,749000.0
280.0,동양생명,5180.0,하락  30,-0.58%,5000.0,5180.0
281.0,현대지에프홀딩스,5330.0,상승  40,+0.76%,500.0,5300.0
282.0,보령,9400.0,상승  20,+0.21%,500.0,9390.0
283.0,가온전선,48500.0,"하락  2,200",-4.34%,5000.0,48450.0
284.0,SOL 종합채권(AA-이상)액티브,114540.0,하락  15,-0.01%,0.0,114500.0
285.0,효성,47900.0,하락  750,-1.54%,5000.0,47900.0
286.0,CJ CGV,4820.0,하락  5,-0.10%,500.0,4820.0
287.0,미래에셋생명,4495.0,하락  15,-0.33%,5000.0,4495.0
288.0,SOL 미국배당다우존스,11900.0,하락  40,-0.34%,0.0,11895.0
289.0,KIWOOM 200TR,45840.0,상승  260,+0.57%,0.0,45805.0
290.0,쿠쿠홀딩스,22100.0,보합0,0.00%,100.0,22050.0
291.0,엠앤씨솔루션,85000.0,"상승  4,500",+5.59%,100.0,84900.0
292.0,한국카본,14950.0,상승  130,+0.88%,500.0,14950.0
293.0,SK디스커버리,41000.0,상승  850,+2.12%,5000.0,40800.0
294.0,케이씨텍,36750.0,"하락  1,100",-2.91%,500.0,36750.0
295.0,ACE 종합채권(AA-이상)KIS액티브,107955.0,하락  25,-0.02%,0.0,107905.0
296.0,N2 KIS CD금리투자 ETN,53610.0,보합0,0.00%,0.0,53615.0
297.0,KODEX Top5PlusTR,22810.0,상승  235,+1.04%,0.0,22810.0
298.0,TIGER 단기통안채,109890.0,상승  10,+0.01%,0.0,109890.0
299.0,미원에스씨,149700.0,하락  400,-0.27%,500.0,149600.0
300.0,이노션,18630.0,하락  120,-0.64%,500.0,18630.0
301.0,KG모빌리티,3785.0,하락  115,-2.95%,5000.0,3785.0
302.0,한화투자증권,3450.0,하락  40,-1.15%,5000.0,3445.0
303.0,NICE평가정보,12380.0,상승  230,+1.89%,500.0,12380.0
304.0,SK케미칼,42600.0,상승  50,+0.12%,5000.0,42400.0
305.0,교보증권,6440.0,하락  90,-1.38%,5000.0,6440.0
306.0,전진건설로봇,50100.0,"하락  1,400",-2.72%,500.0,50000.0
307.0,신한알파리츠,6030.0,보합0,0.00%,1000.0,6030.0
308.0,한국단자,69300.0,"하락  1,100",-1.56%,500.0,69300.0
309.0,율촌화학,28750.0,상승  200,+0.70%,500.0,28750.0
310.0,TCC스틸,27100.0,하락  150,-0.55%,1000.0,27100.0
311.0,프레스티지바이오파마,11800.0,하락  780,-6.20%,0.0,11800.0
312.0,DL,33750.0,"하락  1,400",-3.98%,5000.0,33750.0
313.0,코스모화학,18290.0,하락  610,-3.23%,1000.0,18280.0
314.0,TIGER 미국30년국채스트립액티브(합성 H),41510.0,하락  410,-0.98%,0.0,41510.0
315.0,세아베스틸지주,19560.0,하락  190,-0.96%,5000.0,19560.0
316.0,KODEX 단기채권,112670.0,상승  5,0.00%,0.0,112665.0
317.0,SOL 조선TOP3플러스,19270.0,상승  15,+0.08%,0.0,19270.0
318.0,한화리츠,3855.0,상승  45,+1.18%,500.0,3845.0
319.0,LG전자우,39950.0,상승  500,+1.27%,5000.0,39950.0
320.0,파미셀,11430.0,하락  190,-1.64%,500.0,11430.0
321.0,KODEX MSCI Korea TR,11905.0,하락  10,-0.08%,0.0,11905.0
322.0,덴티움,61100.0,하락  500,-0.81%,500.0,61100.0
323.0,GKL,10740.0,상승  40,+0.37%,500.0,10740.0
324.0,동원F&B,34350.0,상승  250,+0.73%,1000.0,34350.0
325.0,PLUS 200,36380.0,상승  95,+0.26%,0.0,36445.0
326.0,SNT모티브,24850.0,"하락  1,050",-4.05%,5000.0,24850.0
327.0,TIGER Fn반도체TOP10,10920.0,상승  175,+1.63%,0.0,10915.0
328.0,KG스틸,6530.0,하락  210,-3.12%,5000.0,6530.0
329.0,SOL 초단기채권액티브,52850.0,상승  5,+0.01%,0.0,52845.0
330.0,TKG휴켐스,15900.0,하락  220,-1.36%,1000.0,15900.0
331.0,TIGER 미국달러단기채권액티브,13235.0,상승  45,+0.34%,0.0,13230.0
332.0,SNT에너지,31400.0,상승  50,+0.16%,500.0,31400.0
333.0,TIGER 미국나스닥100타겟데일리커버드콜,9455.0,하락  65,-0.68%,0.0,9450.0
334.0,녹십자홀딩스,13730.0,하락  220,-1.58%,500.0,13730.0
335.0,대한유화,99000.0,하락  200,-0.20%,5000.0,98800.0
336.0,케이카,13330.0,상승  60,+0.45%,500.0,13310.0
337.0,N2 코스피 변동성 매칭형 양매도 ETN,9130.0,보합0,0.00%,0.0,9100.0
